student,style,own_posts,own_in_feed,own_housing_in_feed,relevant_candidates,current_returned,current_correct,current_false,full_exact_correct,normalized_correct
student-050,zh-CN,7,0,0,47,0,0,0,0,0
student-051,zh-HK,8,1,1,45,1,0,1,2,0
student-052,mixed,9,1,1,30,0,0,0,0,0
student-053,en-typos,10,0,0,48,0,0,0,0,4
student-054,en-formal,5,0,0,40,0,0,0,0,0
student-055,en-casual,6,0,0,62,0,0,0,0,2
student-056,zh-CN,7,1,0,54,0,0,0,0,1
student-057,zh-HK,8,0,0,70,0,0,0,0,1
student-058,mixed,9,0,0,54,0,0,0,0,5
student-059,en-typos,10,1,0,102,0,0,0,2,0
student-060,en-formal,5,0,0,88,0,0,0,0,1
student-061,en-casual,6,0,0,78,0,0,0,0,0
student-062,zh-CN,7,0,0,20,0,0,0,0,2
student-063,zh-HK,8,0,0,37,0,0,0,0,0
student-064,mixed,9,1,1,53,0,0,0,1,2
student-065,en-typos,10,0,0,85,0,0,0,0,1
student-066,en-formal,5,0,0,11,0,0,0,0,3
student-067,en-casual,6,0,0,14,0,0,0,0,5
student-068,zh-CN,7,0,0,84,0,0,0,0,1
student-069,zh-HK,8,0,0,87,0,0,0,7,0
student-070,mixed,9,0,0,81,0,0,0,3,0
student-071,en-typos,10,0,0,42,0,0,0,3,4
student-072,en-formal,5,0,0,38,0,0,0,0,1
student-073,en-casual,6,0,0,55,0,0,0,1,5
student-074,zh-CN,7,0,0,26,0,0,0,0,5
student-075,zh-HK,8,1,0,52,0,0,0,1,3
student-076,mixed,9,1,0,16,0,0,0,0,4
student-077,en-typos,10,0,0,44,0,0,0,0,1
student-078,en-formal,5,0,0,32,0,0,0,0,0
student-079,en-casual,6,0,0,43,0,0,0,0,0
student-080,zh-CN,7,0,0,53,0,0,0,0,3
student-081,zh-HK,8,0,0,10,0,0,0,0,0
student-082,mixed,9,1,0,25,0,0,0,0,0
student-083,en-typos,10,0,0,105,0,0,0,0,0
student-084,en-formal,5,1,0,60,0,0,0,0,0
student-085,en-casual,6,0,0,62,0,0,0,0,0
student-086,zh-CN,7,0,0,133,0,0,0,0,0
student-087,zh-HK,8,1,0,84,0,0,0,2,0
student-088,mixed,9,0,0,106,0,0,0,0,1
student-089,en-typos,10,0,0,89,0,0,0,0,2
student-090,en-formal,5,0,0,53,0,0,0,0,2
student-091,en-casual,6,0,0,4,0,0,0,0,1
student-092,zh-CN,7,0,0,11,0,0,0,0,0
student-093,zh-HK,8,0,0,56,0,0,0,0,0
student-094,mixed,9,0,0,57,0,0,0,0,3
student-095,en-typos,10,1,0,35,0,0,0,0,1
student-096,en-formal,5,0,0,12,0,0,0,0,5
student-097,en-casual,6,0,0,7,0,0,0,0,2
student-098,zh-CN,7,0,0,91,0,0,0,0,2
student-099,zh-HK,8,1,0,51,0,0,0,0,1
student-100,mixed,9,0,0,57,0,0,0,0,0
student-101,en-typos,10,0,0,29,0,0,0,0,0
student-102,en-formal,5,0,0,6,0,0,0,0,0
student-103,en-casual,6,0,0,56,0,0,0,0,0
student-104,zh-CN,7,0,0,7,0,0,0,0,0
student-105,zh-HK,8,1,0,12,0,0,0,0,4
student-106,mixed,9,0,0,90,0,0,0,3,1
student-107,en-typos,10,0,0,70,0,0,0,0,0
student-108,en-formal,5,1,0,5,0,0,0,0,0
student-109,en-casual,6,0,0,19,0,0,0,0,0
student-110,zh-CN,7,0,0,44,0,0,0,0,1
student-111,zh-HK,8,0,0,66,0,0,0,0,2
student-112,mixed,9,1,0,57,0,0,0,0,2
student-113,en-typos,10,0,0,71,0,0,0,2,0
student-114,en-formal,5,0,0,8,0,0,0,0,4
student-115,en-casual,6,0,0,7,0,0,0,0,0
student-116,zh-CN,7,0,0,14,0,0,0,0,0
student-117,zh-HK,8,0,0,34,0,0,0,0,0
student-118,mixed,9,0,0,83,0,0,0,0,0
student-119,en-typos,10,0,0,58,0,0,0,0,1
student-120,en-formal,5,0,0,54,0,0,0,0,0
student-121,en-casual,6,0,0,12,0,0,0,0,4
student-122,zh-CN,7,0,0,6,0,0,0,0,2
student-123,zh-HK,8,0,0,45,0,0,0,0,0
student-124,mixed,9,1,1,50,0,0,0,0,2
student-125,en-typos,10,0,0,53,0,0,0,0,1
student-126,en-formal,5,0,0,84,0,0,0,0,2
student-127,en-casual,6,0,0,12,0,0,0,0,1
student-128,zh-CN,7,0,0,30,0,0,0,0,1
student-129,zh-HK,8,0,0,43,0,0,0,0,0
student-130,mixed,9,0,0,10,0,0,0,0,0
student-131,en-typos,10,0,0,51,0,0,0,0,3
student-132,en-formal,5,0,0,8,0,0,0,0,3
student-133,en-casual,6,0,0,12,0,0,0,0,0
student-134,zh-CN,7,0,0,84,0,0,0,1,0
student-135,zh-HK,8,1,0,87,0,0,0,2,0
student-136,mixed,9,1,0,38,0,0,0,1,6
student-137,en-typos,10,0,0,16,0,0,0,0,3
student-138,en-formal,5,0,0,13,0,0,0,0,0
student-139,en-casual,6,0,0,56,0,0,0,0,0
student-140,zh-CN,7,0,0,39,0,0,0,0,0
student-141,zh-HK,8,0,0,22,0,0,0,0,5
student-142,mixed,9,0,0,88,0,0,0,0,0
student-143,en-typos,10,1,0,80,0,0,0,0,2
student-144,en-formal,5,0,0,59,0,0,0,0,0
student-145,en-casual,6,0,0,41,0,0,0,1,1
student-146,zh-CN,7,0,0,12,0,0,0,0,1
student-147,zh-HK,8,0,0,16,0,0,0,1,4
student-148,mixed,9,0,0,84,0,0,0,0,0
student-149,en-typos,10,0,0,59,0,0,0,0,2
student-150,en-formal,5,0,0,6,0,0,0,0,0
student-151,en-casual,6,0,0,16,0,0,0,0,1
student-152,zh-CN,7,0,0,32,0,0,0,0,1
student-153,zh-HK,8,0,0,72,0,0,0,2,0
student-154,mixed,9,1,0,55,0,0,0,0,0
student-155,en-typos,10,0,0,48,0,0,0,0,2
student-156,en-formal,5,0,0,8,0,0,0,0,4
student-157,en-casual,6,0,0,16,0,0,0,0,5
student-158,zh-CN,7,0,0,37,0,0,0,0,0
student-159,zh-HK,8,0,0,83,0,0,0,1,0
student-160,mixed,9,0,0,126,0,0,0,2,3
student-161,en-typos,10,0,0,62,0,0,0,0,2
student-162,en-formal,5,0,0,8,0,0,0,0,0
student-163,en-casual,6,0,0,30,0,0,0,1,3
student-164,zh-CN,7,0,0,6,0,0,0,0,2
student-165,zh-HK,8,0,0,42,0,0,0,0,1
student-166,mixed,9,0,0,105,0,0,0,1,0
student-167,en-typos,10,0,0,108,0,0,0,0,3
student-168,en-formal,5,0,0,2,0,0,0,0,0
student-169,en-casual,6,0,0,19,0,0,0,0,1
student-170,zh-CN,7,0,0,12,0,0,0,0,2
student-171,zh-HK,8,0,0,58,0,0,0,1,7
student-172,mixed,9,1,1,60,0,0,0,0,0
student-173,en-typos,10,0,0,49,0,0,0,0,8
student-174,en-formal,5,0,0,6,0,0,0,0,0
student-175,en-casual,6,0,0,31,0,0,0,0,3
student-176,zh-CN,7,0,0,76,0,0,0,2,2
student-177,zh-HK,8,1,0,64,0,0,0,1,0
student-178,mixed,9,0,0,8,0,0,0,0,2
student-179,en-typos,10,0,0,61,0,0,0,0,2
student-180,en-formal,5,0,0,85,0,0,0,0,4
student-181,en-casual,6,1,0,11,0,0,0,0,0
student-182,zh-CN,7,0,0,14,0,0,0,0,2
student-183,zh-HK,8,0,0,9,0,0,0,0,1
student-184,mixed,9,0,0,83,0,0,0,0,5
student-185,en-typos,10,0,0,130,0,0,0,0,2
student-186,en-formal,5,0,0,23,0,0,0,0,0
student-187,en-casual,6,0,0,43,0,0,0,0,0
student-188,zh-CN,7,0,0,73,0,0,0,0,0
student-189,zh-HK,8,1,1,16,0,0,0,0,1
student-190,mixed,9,0,0,52,0,0,0,3,8
student-191,en-typos,10,0,0,53,0,0,0,0,0
student-192,en-formal,5,0,0,42,0,0,0,0,3
student-193,en-casual,6,0,0,40,0,0,0,0,1
student-194,zh-CN,7,0,0,6,0,0,0,0,0
student-195,zh-HK,8,1,1,30,0,0,0,1,1
student-196,mixed,9,0,0,27,0,0,0,1,3
student-197,en-typos,10,0,0,11,0,0,0,0,5
student-198,en-formal,5,0,0,22,0,0,0,2,0
student-199,en-casual,6,2,0,9,0,0,0,0,0
student-200,zh-CN,7,0,0,34,0,0,0,0,1
student-201,zh-HK,8,0,0,117,0,0,0,0,1
student-202,mixed,9,0,0,23,0,0,0,0,1
student-203,en-typos,10,1,0,19,0,0,0,0,2
student-204,en-formal,5,1,0,44,0,0,0,1,1
student-205,en-casual,6,0,0,32,0,0,0,0,0
student-206,zh-CN,7,0,0,10,0,0,0,0,0
student-207,zh-HK,8,0,0,57,0,0,0,0,0
student-208,mixed,9,0,0,25,0,0,0,0,5
student-209,en-typos,10,0,0,107,0,0,0,0,1
student-210,en-formal,5,0,0,36,0,0,0,0,0
student-211,en-casual,6,0,0,49,0,0,0,0,0
student-212,zh-CN,7,1,0,42,0,0,0,0,0
student-213,zh-HK,8,1,0,9,0,0,0,0,1
student-214,mixed,9,0,0,18,0,0,0,0,0
student-215,en-typos,10,1,0,116,0,0,0,1,4
student-216,en-formal,5,0,0,8,0,0,0,1,3
student-217,en-casual,6,0,0,72,0,0,0,0,0
student-218,zh-CN,7,0,0,19,0,0,0,0,6
student-219,zh-HK,8,0,0,44,0,0,0,0,0
student-220,mixed,9,0,0,21,0,0,0,0,0
student-221,en-typos,10,0,0,93,0,0,0,0,0
student-222,en-formal,5,0,0,29,0,0,0,0,3
student-223,en-casual,6,0,0,15,0,0,0,0,0
student-224,zh-CN,7,0,0,5,0,0,0,0,0
student-225,zh-HK,8,0,0,6,0,0,0,0,0
student-226,mixed,9,0,0,13,0,0,0,0,1
student-227,en-typos,10,1,0,71,0,0,0,0,1
student-228,en-formal,5,0,0,48,0,0,0,1,0
student-229,en-casual,6,0,0,101,0,0,0,0,0
student-230,zh-CN,7,0,0,45,0,0,0,0,3
student-231,zh-HK,8,0,0,57,0,0,0,5,1
student-232,mixed,9,0,0,126,0,0,0,0,1
student-233,en-typos,10,0,0,26,0,0,0,0,1
student-234,en-formal,5,0,0,60,0,0,0,0,4
student-235,en-casual,6,1,0,8,0,0,0,1,3
student-236,zh-CN,7,0,0,48,0,0,0,1,3
student-237,zh-HK,8,0,0,29,0,0,0,0,1
student-238,mixed,9,0,0,89,0,0,0,1,3
student-239,en-typos,10,0,0,20,0,0,0,0,5
student-240,en-formal,5,0,0,75,0,0,0,1,0
student-241,en-casual,6,0,0,9,0,0,0,0,1
student-242,zh-CN,7,0,0,11,0,0,0,0,1
student-243,zh-HK,8,0,0,60,0,0,0,1,1
student-244,mixed,9,1,0,54,0,0,0,0,1
student-245,en-typos,10,1,0,68,0,0,0,0,0
student-246,en-formal,5,0,0,11,0,0,0,0,0
student-247,en-casual,6,0,0,16,0,0,0,0,8
student-248,zh-CN,7,0,0,11,0,0,0,0,3
student-249,zh-HK,8,0,0,59,0,0,0,1,1
student-250,mixed,9,0,0,75,0,0,0,2,1
student-251,en-typos,10,0,0,43,0,0,0,0,3
student-252,en-formal,5,0,0,43,0,0,0,0,0
student-253,en-casual,6,1,0,110,0,0,0,0,0
student-254,zh-CN,7,0,0,88,0,0,0,1,0
student-255,zh-HK,8,0,0,153,0,0,0,0,3
student-256,mixed,9,1,0,65,0,0,0,0,2
student-257,en-typos,10,0,0,124,0,0,0,3,1
student-258,en-formal,5,0,0,22,0,0,0,0,3
student-259,en-casual,6,0,0,7,0,0,0,0,3
student-260,zh-CN,7,0,0,62,0,0,0,0,1
student-261,zh-HK,8,2,0,64,0,0,0,1,0
student-262,mixed,9,0,0,74,0,0,0,0,0
student-263,en-typos,10,1,0,68,0,0,0,0,3
student-264,en-formal,5,1,0,71,0,0,0,0,1
student-265,en-casual,6,0,0,4,0,0,0,0,0
student-266,zh-CN,7,0,0,12,0,0,0,0,1
student-267,zh-HK,8,0,0,120,0,0,0,4,3
student-268,mixed,9,1,0,62,0,0,0,0,8
student-269,en-typos,10,0,0,46,0,0,0,0,1
student-270,en-formal,5,0,0,11,0,0,0,0,1
student-271,en-casual,6,0,0,48,0,0,0,0,7
student-272,zh-CN,7,0,0,44,0,0,0,0,1
student-273,zh-HK,8,0,0,9,0,0,0,0,0
student-274,mixed,9,0,0,12,0,0,0,0,3
student-275,en-typos,10,0,0,16,0,0,0,0,4
student-276,en-formal,5,1,0,27,0,0,0,0,7
student-277,en-casual,6,0,0,44,0,0,0,1,1
student-278,zh-CN,7,0,0,71,0,0,0,0,1
student-279,zh-HK,8,0,0,67,0,0,0,0,1
student-280,mixed,9,0,0,181,0,0,0,0,0
student-281,en-typos,10,0,0,72,0,0,0,0,3
student-282,en-formal,5,0,0,22,0,0,0,0,0
student-283,en-casual,6,0,0,73,0,0,0,0,0
student-284,zh-CN,7,0,0,45,0,0,0,0,3
student-285,zh-HK,8,0,0,45,0,0,0,1,0
student-286,mixed,9,2,0,53,0,0,0,0,0
student-287,en-typos,10,0,0,120,0,0,0,0,4
student-288,en-formal,5,0,0,93,0,0,0,0,0
student-289,en-casual,6,0,0,59,0,0,0,1,1
student-290,zh-CN,7,0,0,50,0,0,0,0,3
student-291,zh-HK,8,0,0,16,0,0,0,0,7
student-292,mixed,9,2,0,40,0,0,0,0,0
student-293,en-typos,10,0,0,37,0,0,0,0,0
student-294,en-formal,5,0,0,11,0,0,0,0,0
student-295,en-casual,6,0,0,37,0,0,0,0,1
student-296,zh-CN,7,0,0,47,0,0,0,0,6
student-297,zh-HK,8,0,0,13,0,0,0,0,6
student-298,mixed,9,0,0,33,0,0,0,0,3
student-299,en-typos,10,1,1,59,0,0,0,0,0
student-300,en-formal,5,0,0,38,0,0,0,0,0
student-301,en-casual,6,0,0,23,0,0,0,0,3
student-302,zh-CN,7,0,0,35,0,0,0,0,0
student-303,zh-HK,8,1,1,13,0,0,0,0,4
student-304,mixed,9,0,0,89,0,0,0,0,4
student-305,en-typos,10,0,0,74,0,0,0,0,3
student-306,en-formal,5,0,0,9,0,0,0,0,0
student-307,en-casual,6,0,0,9,0,0,0,0,5
student-308,zh-CN,7,0,0,74,0,0,0,0,0
student-309,zh-HK,8,0,0,75,0,0,0,0,1
student-310,mixed,9,0,0,98,0,0,0,0,5
student-311,en-typos,10,0,0,48,0,0,0,0,0
student-312,en-formal,5,0,0,31,0,0,0,0,0
student-313,en-casual,6,0,0,48,0,0,0,0,0
student-314,zh-CN,7,0,0,61,0,0,0,0,2
student-315,zh-HK,8,0,0,42,0,0,0,1,0
student-316,mixed,9,0,0,32,0,0,0,0,0
student-317,en-typos,10,0,0,69,0,0,0,3,3
student-318,en-formal,5,0,0,12,0,0,0,0,0
student-319,en-casual,6,0,0,58,0,0,0,0,0
student-320,zh-CN,7,0,0,24,0,0,0,0,0
student-321,zh-HK,8,0,0,55,0,0,0,0,0
student-322,mixed,9,0,0,54,0,0,0,0,1
student-323,en-typos,10,0,0,76,0,0,0,0,2
student-324,en-formal,5,0,0,43,0,0,0,0,0
student-325,en-casual,6,0,0,9,0,0,0,0,5
student-326,zh-CN,7,0,0,48,0,0,0,0,0
student-327,zh-HK,8,0,0,58,0,0,0,0,9
student-328,mixed,9,0,0,70,0,0,0,0,0
student-329,en-typos,10,1,0,51,0,0,0,1,3
student-330,en-formal,5,0,0,8,0,0,0,0,0
student-331,en-casual,6,0,0,37,0,0,0,1,1
student-332,zh-CN,7,1,1,58,1,0,1,0,0
student-333,zh-HK,8,0,0,88,0,0,0,0,2
student-334,mixed,9,0,0,19,0,0,0,0,2
student-335,en-typos,10,0,0,72,0,0,0,0,0
student-336,en-formal,5,0,0,50,0,0,0,0,0
student-337,en-casual,6,0,0,54,0,0,0,0,0
student-338,zh-CN,7,0,0,7,0,0,0,0,0
student-339,zh-HK,8,1,0,56,0,0,0,0,3
student-340,mixed,9,0,0,55,0,0,0,0,4
student-341,en-typos,10,0,0,50,0,0,0,0,2
student-342,en-formal,5,0,0,16,0,0,0,0,0
student-343,en-casual,6,0,0,7,0,0,0,0,0
student-344,zh-CN,7,0,0,116,0,0,0,0,3
student-345,zh-HK,8,1,0,42,0,0,0,0,1
student-346,mixed,9,0,0,99,0,0,0,1,6
student-347,en-typos,10,0,0,65,0,0,0,0,4
student-348,en-formal,5,0,0,12,0,0,0,0,2
student-349,en-casual,6,0,0,8,0,0,0,0,2
student-350,zh-CN,7,0,0,55,0,0,0,1,0
student-351,zh-HK,8,0,0,58,0,0,0,1,3
student-352,mixed,9,1,0,107,0,0,0,1,0
student-353,en-typos,10,1,0,112,0,0,0,1,4
student-354,en-formal,5,1,0,12,0,0,0,0,0
student-355,en-casual,6,0,0,53,0,0,0,0,0
student-356,zh-CN,7,0,0,9,0,0,0,0,0
student-357,zh-HK,8,0,0,142,0,0,0,0,0
student-358,mixed,9,0,0,74,0,0,0,0,4
student-359,en-typos,10,0,0,18,0,0,0,0,0
student-360,en-formal,5,0,0,6,0,0,0,0,1
student-361,en-casual,6,0,0,57,0,0,0,0,6
student-362,zh-CN,7,0,0,90,0,0,0,2,1
student-363,zh-HK,8,0,0,17,0,0,0,0,1
student-364,mixed,9,0,0,109,0,0,0,0,0
student-365,en-typos,10,0,0,113,0,0,0,0,4
student-366,en-formal,5,0,0,8,0,0,0,0,5
student-367,en-casual,6,0,0,31,0,0,0,0,1
student-368,zh-CN,7,0,0,11,0,0,0,0,1
student-369,zh-HK,8,0,0,51,0,0,0,2,0
student-370,mixed,9,0,0,103,0,0,0,0,0
student-371,en-typos,10,0,0,43,0,0,0,0,0
student-372,en-formal,5,0,0,74,0,0,0,0,0
student-373,en-casual,6,0,0,4,0,0,0,0,1
student-374,zh-CN,7,0,0,18,0,0,0,0,3
student-375,zh-HK,8,0,0,13,0,0,0,0,1
student-376,mixed,9,0,0,55,0,0,0,0,0
student-377,en-typos,10,0,0,135,0,0,0,0,0
student-378,en-formal,5,0,0,34,0,0,0,0,0
student-379,en-casual,6,0,0,17,0,0,0,0,2
student-380,zh-CN,7,0,0,17,0,0,0,0,0
student-381,zh-HK,8,0,0,22,0,0,0,0,0
student-382,mixed,9,1,0,36,0,0,0,0,1
student-383,en-typos,10,1,0,54,0,0,0,0,0
student-384,en-formal,5,0,0,10,0,0,0,0,0
student-385,en-casual,6,0,0,88,0,0,0,0,0
student-386,zh-CN,7,0,0,42,0,0,0,0,0
student-387,zh-HK,8,0,0,62,0,0,0,0,0
student-388,mixed,9,0,0,64,0,0,0,0,0
student-389,en-typos,10,1,0,24,0,0,0,2,2
student-390,en-formal,5,0,0,51,0,0,0,0,0
student-391,en-casual,6,0,0,63,0,0,0,1,2
student-392,zh-CN,7,0,0,39,0,0,0,0,6
student-393,zh-HK,8,0,0,47,0,0,0,0,2
student-394,mixed,9,1,0,72,0,0,0,0,0
student-395,en-typos,10,0,0,27,0,0,0,0,0
student-396,en-formal,5,0,0,4,0,0,0,0,0
student-397,en-casual,6,0,0,42,0,0,0,0,2
student-398,zh-CN,7,0,0,63,0,0,0,0,0
student-399,zh-HK,8,0,0,133,0,0,0,0,1
student-400,mixed,9,0,0,92,0,0,0,0,1
student-401,en-typos,10,0,0,122,0,0,0,3,2
student-402,en-formal,5,0,0,15,0,0,0,0,0
student-403,en-casual,6,0,0,67,0,0,0,0,0
student-404,zh-CN,7,0,0,76,0,0,0,1,0
student-405,zh-HK,8,0,0,57,0,0,0,0,3
student-406,mixed,9,0,0,62,0,0,0,2,5
student-407,en-typos,10,0,0,71,0,0,0,2,4
student-408,en-formal,5,0,0,49,0,0,0,0,0
student-409,en-casual,6,0,0,6,0,0,0,0,2
student-410,zh-CN,7,0,0,56,0,0,0,2,7
student-411,zh-HK,8,1,0,44,0,0,0,0,1
student-412,mixed,9,0,0,61,0,0,0,0,1
student-413,en-typos,10,0,0,36,0,0,0,0,0
student-414,en-formal,5,0,0,43,0,0,0,0,0
student-415,en-casual,6,0,0,29,0,0,0,1,4
student-416,zh-CN,7,0,0,75,0,0,0,0,0
student-417,zh-HK,8,1,0,71,0,0,0,0,0
student-418,mixed,9,0,0,19,0,0,0,0,3
student-419,en-typos,10,0,0,9,0,0,0,0,0
student-420,en-formal,5,0,0,69,0,0,0,0,1
student-421,en-casual,6,0,0,12,0,0,0,0,1
student-422,zh-CN,7,1,0,71,0,0,0,0,0
student-423,zh-HK,8,0,0,16,0,0,0,1,2
student-424,mixed,9,1,1,125,0,0,0,8,8
student-425,en-typos,10,1,0,27,0,0,0,0,4
student-426,en-formal,5,0,0,10,0,0,0,0,1
student-427,en-casual,6,0,0,12,0,0,0,0,3
student-428,zh-CN,7,0,0,49,0,0,0,0,1
student-429,zh-HK,8,0,0,51,0,0,0,0,3
student-430,mixed,9,0,0,24,0,0,0,1,2
student-431,en-typos,10,0,0,41,0,0,0,1,1
student-432,en-formal,5,0,0,30,0,0,0,0,0
student-433,en-casual,6,1,1,78,0,0,0,0,3
student-434,zh-CN,7,0,0,77,0,0,0,0,0
student-435,zh-HK,8,0,0,75,0,0,0,0,2
student-436,mixed,9,0,0,75,0,0,0,0,1
student-437,en-typos,10,1,0,76,0,0,0,0,0
student-438,en-formal,5,0,0,13,0,0,0,1,3
student-439,en-casual,6,0,0,92,0,0,0,0,0
student-440,zh-CN,7,0,0,45,0,0,0,1,5
student-441,zh-HK,8,0,0,36,0,0,0,0,4
student-442,mixed,9,1,0,84,0,0,0,0,5
student-443,en-typos,10,0,0,46,0,0,0,0,1
student-444,en-formal,5,0,0,6,0,0,0,0,1
student-445,en-casual,6,0,0,10,0,0,0,0,6
student-446,zh-CN,7,0,0,28,0,0,0,0,0
student-447,zh-HK,8,0,0,94,0,0,0,0,2
student-448,mixed,9,1,0,112,0,0,0,0,0
student-449,en-typos,10,1,0,94,0,0,0,0,3
student-450,en-formal,5,0,0,25,0,0,0,0,3
student-451,en-casual,6,0,0,80,0,0,0,2,0
student-452,zh-CN,7,1,0,13,0,0,0,0,2
student-453,zh-HK,8,1,0,59,0,0,0,0,0
student-454,mixed,9,0,0,13,0,0,0,0,1
student-455,en-typos,10,1,1,65,0,0,0,0,2
student-456,en-formal,5,0,0,10,0,0,0,0,3
student-457,en-casual,6,0,0,69,0,0,0,0,0
student-458,zh-CN,7,1,1,54,0,0,0,0,6
student-459,zh-HK,8,0,0,29,0,0,0,0,2
student-460,mixed,9,0,0,7,0,0,0,1,2
student-461,en-typos,10,1,1,14,0,0,0,0,0
student-462,en-formal,5,1,0,8,0,0,0,0,0
student-463,en-casual,6,0,0,11,0,0,0,0,0
student-464,zh-CN,7,0,0,9,0,0,0,1,5
student-465,zh-HK,8,0,0,19,0,0,0,0,9
student-466,mixed,9,0,0,12,0,0,0,0,0
student-467,en-typos,10,0,0,92,0,0,0,0,0
student-468,en-formal,5,0,0,78,0,0,0,1,0
student-469,en-casual,6,0,0,39,0,0,0,0,0
student-470,zh-CN,7,0,0,10,0,0,0,0,0
student-471,zh-HK,8,0,0,11,0,0,0,0,0
student-472,mixed,9,1,0,55,0,0,0,0,0
student-473,en-typos,10,1,0,22,0,0,0,0,2
student-474,en-formal,5,1,0,12,0,0,0,0,1
student-475,en-casual,6,1,0,93,0,0,0,0,4
student-476,zh-CN,7,1,0,15,0,0,0,0,0
student-477,zh-HK,8,0,0,14,0,0,0,0,3
student-478,mixed,9,0,0,70,0,0,0,1,0
student-479,en-typos,10,0,0,50,0,0,0,0,0
student-480,en-formal,5,0,0,30,0,0,0,0,5
student-481,en-casual,6,0,0,51,0,0,0,0,2
student-482,zh-CN,7,0,0,95,0,0,0,2,0
student-483,zh-HK,8,0,0,15,0,0,0,0,0
student-484,mixed,9,1,0,53,0,0,0,0,5
student-485,en-typos,10,0,0,38,0,0,0,0,1
student-486,en-formal,5,0,0,12,0,0,0,0,0
student-487,en-casual,6,0,0,114,0,0,0,4,0
student-488,zh-CN,7,0,0,69,0,0,0,0,3
student-489,zh-HK,8,1,1,115,0,0,0,2,4
student-490,mixed,9,0,0,22,0,0,0,0,2
student-491,en-typos,10,1,0,58,0,0,0,0,0
student-492,en-formal,5,0,0,17,0,0,0,0,2
student-493,en-casual,6,0,0,78,0,0,0,0,3
student-494,zh-CN,7,0,0,42,0,0,0,1,2
student-495,zh-HK,8,0,0,16,0,0,0,0,3
student-496,mixed,9,0,0,47,0,0,0,0,1
student-497,en-typos,10,0,0,63,0,0,0,0,3
student-498,en-formal,5,0,0,33,0,0,0,0,0
student-499,en-casual,6,1,0,71,0,0,0,0,0
